project_id,package_id,scope,dataset_id,version,project_num,title,shortname,search_column_1
210409,knb-lter-jrn.210409002.60,knb-lter-jrn,210409002,60,409,Ecophysiology measurements on Study 278 plots [Lara Reichmann/Osvaldo Sala],ECOPHYS-Throop,Study 409 - ECOPHYS-Throop
210412,knb-lter-jrn.210412001.58,knb-lter-jrn,210412001,58,412,"Jornada Experimental Range annual stocking rates for cattle, horses, and sheep beginning 1916",NA,Study 412
210420,knb-lter-jrn.210420002.1,knb-lter-jrn,210420002,1,420,Geomorphic Controls over Nutrient Cycling in Playas in the Jornada Basin,NA,Study 420
210420,knb-lter-jrn.210420001.1,knb-lter-jrn,210420001,1,420,Geomorphic Controls over Nutrient Cycling in Playas in the Jornada Basin,NA,Study 420
210425,knb-lter-jrn.210425001.75,knb-lter-jrn,210425001,75,425,Synthesis: Estimate of daily precipitation at 15 NPP sites for 2000-2010 based on existing precipitation data sets,NA,Study 425
210437,knb-lter-jrn.210437032.28,knb-lter-jrn,210437032,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437016.28,knb-lter-jrn,210437016,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437001.28,knb-lter-jrn,210437001,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437061.26,knb-lter-jrn,210437061,26,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437076.28,knb-lter-jrn,210437076,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437002.29,knb-lter-jrn,210437002,29,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437033.28,knb-lter-jrn,210437033,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437091.28,knb-lter-jrn,210437091,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437031.28,knb-lter-jrn,210437031,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437063.26,knb-lter-jrn,210437063,26,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437062.25,knb-lter-jrn,210437062,25,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437092.28,knb-lter-jrn,210437092,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437046.29,knb-lter-jrn,210437046,29,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437047.28,knb-lter-jrn,210437047,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437017.28,knb-lter-jrn,210437017,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437049.28,knb-lter-jrn,210437049,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437019.28,knb-lter-jrn,210437019,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437064.27,knb-lter-jrn,210437064,27,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437093.28,knb-lter-jrn,210437093,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
210437,knb-lter-jrn.210437079.28,knb-lter-jrn,210437079,28,437,NPP site instrumentation on a wireless network,NPP met stations,Study 437 - NPP met stations
