id,project_id,packageid,scope,datasetid,version,resnotif_id,project_title
knb-lter-jrn.210385008,210385,knb-lter-jrn.210385008.17,knb-lter-jrn,210385008,17,385,Fluff grass: Microarthropod effects on nitrogen availability
knb-lter-jrn.210385001,210385,knb-lter-jrn.210385001.26,knb-lter-jrn,210385001,26,385,Fluff grass: Microarthropod effects on nitrogen availability
knb-lter-jrn.210385002,210385,knb-lter-jrn.210385002.49,knb-lter-jrn,210385002,49,385,Fluff grass: Microarthropod effects on nitrogen availability
knb-lter-jrn.210386003,210386,knb-lter-jrn.210386003.11,knb-lter-jrn,210386003,11,386,Mesquite Phenology Study
knb-lter-jrn.210386009,210386,knb-lter-jrn.210386009.1,knb-lter-jrn,210386009,1,386,Mesquite Phenology Study
knb-lter-jrn.210386004,210386,knb-lter-jrn.210386004.12,knb-lter-jrn,210386004,12,386,Mesquite Phenology Study
knb-lter-jrn.210386002,210386,knb-lter-jrn.210386002.1,knb-lter-jrn,210386002,1,386,Mesquite Phenology Study
knb-lter-jrn.210386011,210386,knb-lter-jrn.210386011.1,knb-lter-jrn,210386011,1,386,Mesquite Phenology Study
knb-lter-jrn.210386008,210386,knb-lter-jrn.210386008.1,knb-lter-jrn,210386008,1,386,Mesquite Phenology Study
knb-lter-jrn.210389001,210389,knb-lter-jrn.210389001.1,knb-lter-jrn,210389001,1,389,LTER-I Transect Litter Collection Study
knb-lter-jrn.210389002,210389,knb-lter-jrn.210389002.1,knb-lter-jrn,210389002,1,389,LTER-I Transect Litter Collection Study
knb-lter-jrn.210392001,210392,knb-lter-jrn.210392001.69,knb-lter-jrn,210392001,69,392,Valentine creosotebush lagomorph exclosure study
knb-lter-jrn.210394005,210394,knb-lter-jrn.210394005.49,knb-lter-jrn,210394005,49,394,Deep Mesquite Soil Cores in playas and arroyos
knb-lter-jrn.210394009,210394,knb-lter-jrn.210394009.40,knb-lter-jrn,210394009,40,394,Deep Mesquite Soil Cores in playas and arroyos
knb-lter-jrn.210394008,210394,knb-lter-jrn.210394008.1,knb-lter-jrn,210394008,1,394,Deep Mesquite Soil Cores in playas and arroyos
knb-lter-jrn.210395001,210395,knb-lter-jrn.210395001.39,knb-lter-jrn,210395001,39,395,Grama/Mesquite Leaching Mineralization Potential Survey
knb-lter-jrn.210407001,210407,knb-lter-jrn.210407001.5,knb-lter-jrn,210407001,5,407,USDA-ARS Jornada Experimental Range Recording (Weighing) Rain Gauges
knb-lter-jrn.210408005,210408,knb-lter-jrn.210408005.1,knb-lter-jrn,210408005,1,408,Eddy flux tower
knb-lter-jrn.210409001,210409,knb-lter-jrn.210409001.63,knb-lter-jrn,210409001,63,409,Ecophysiology measurements on Study 278 plots [Lara Reichmann/Osvaldo Sala]
knb-lter-jrn.210409002,210409,knb-lter-jrn.210409002.60,knb-lter-jrn,210409002,60,409,Ecophysiology measurements on Study 278 plots [Lara Reichmann/Osvaldo Sala]
knb-lter-jrn.210412001,210412,knb-lter-jrn.210412001.58,knb-lter-jrn,210412001,58,412,"Jornada Experimental Range annual stocking rates for cattle, horses, and sheep beginning 1916"
knb-lter-jrn.210420001,210420,knb-lter-jrn.210420001.1,knb-lter-jrn,210420001,1,420,Geomorphic Controls over Nutrient Cycling in Playas in the Jornada Basin
knb-lter-jrn.210420002,210420,knb-lter-jrn.210420002.1,knb-lter-jrn,210420002,1,420,Geomorphic Controls over Nutrient Cycling in Playas in the Jornada Basin
knb-lter-jrn.210425001,210425,knb-lter-jrn.210425001.75,knb-lter-jrn,210425001,75,425,Synthesis: Estimate of daily precipitation at 15 NPP sites for 2000-2010 based on existing precipitation data sets
knb-lter-jrn.210437065,210437,knb-lter-jrn.210437065.24,knb-lter-jrn,210437065,24,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437063,210437,knb-lter-jrn.210437063.24,knb-lter-jrn,210437063,24,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437094,210437,knb-lter-jrn.210437094.26,knb-lter-jrn,210437094,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437080,210437,knb-lter-jrn.210437080.25,knb-lter-jrn,210437080,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437020,210437,knb-lter-jrn.210437020.24,knb-lter-jrn,210437020,24,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437002,210437,knb-lter-jrn.210437002.26,knb-lter-jrn,210437002,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437093,210437,knb-lter-jrn.210437093.26,knb-lter-jrn,210437093,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437078,210437,knb-lter-jrn.210437078.26,knb-lter-jrn,210437078,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437004,210437,knb-lter-jrn.210437004.26,knb-lter-jrn,210437004,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437064,210437,knb-lter-jrn.210437064.25,knb-lter-jrn,210437064,25,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437034,210437,knb-lter-jrn.210437034.26,knb-lter-jrn,210437034,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437049,210437,knb-lter-jrn.210437049.26,knb-lter-jrn,210437049,26,437,NPP site instrumentation on a wireless network
knb-lter-jrn.210437019,210437,knb-lter-jrn.210437019.26,knb-lter-jrn,210437019,26,437,NPP site instrumentation on a wireless network
